,收盘,signal
2013-05-31,1073.02,-1.0
2013-06-03,1052.14,-1.0
2013-06-04,1022.46,-1.0
2013-06-05,1032.76,-1.0
2013-06-06,1022.13,-1.0
2013-06-07,1030.14,-1.0
2013-06-13,1029.28,-1.0
2013-06-14,1068.15,-1.0
2013-06-17,1073.69,-1.0
2013-06-18,1072.93,-1.0
2013-06-19,1067.63,-1.0
2013-06-20,1029.53,-1.0
2013-06-21,1025.5,-1.0
2013-06-24,971.45,-1.0
2013-06-25,984.75,-1.0
2013-06-26,1038.98,-1.0
2013-06-27,1022.5,-1.0
2013-06-28,1011.66,-1.0
2013-07-01,1055.84,-1.0
2013-07-02,1083.25,-1.0
2013-07-03,1104.58,-1.0
2013-07-04,1087.9,-1.0
2013-07-05,1057.27,-1.0
2013-07-08,1030.6,-1.0
2013-07-09,1050.72,-1.0
2013-07-10,1068.86,-1.0
2013-07-11,1080.78,-1.0
2013-07-12,1096.3,-1.0
2013-07-15,1139.57,-1.0
2013-07-16,1143.2,-1.0
2013-07-17,1129.48,-1.0
2013-07-18,1127.97,-1.0
2013-07-19,1116.01,-1.0
2013-07-22,1153.77,-1.0
2013-07-23,1178.59,-1.0
2013-07-24,1203.31,-1.0
2013-07-25,1150.39,-1.0
2013-07-26,1158.35,-1.0
2013-07-29,1136.98,1.0
2013-07-30,1124.1,1.0
2013-07-31,1134.02,1.0
2013-08-01,1190.11,1.0
2013-08-02,1188.85,1.0
2013-08-05,1202.83,-1.0
2013-08-06,1211.69,-1.0
2013-08-07,1175.7,-1.0
2013-08-08,1185.96,-1.0
2013-08-09,1172.52,-1.0
2013-08-12,1161.87,-1.0
2013-08-13,1172.33,-1.0
2013-08-14,1180.66,-1.0
2013-08-15,1167.09,-1.0
2013-08-16,1132.09,-1.0
2013-08-19,1171.4,-1.0
2013-08-20,1175.78,-1.0
2013-08-21,1181.34,-1.0
2013-08-22,1197.13,-1.0
2013-08-23,1219.83,-1.0
2013-08-26,1238.17,1.0
2013-08-27,1250.75,1.0
2013-08-28,1228.0,1.0
2013-08-29,1226.3,1.0
2013-08-30,1185.15,1.0
2013-09-02,1210.19,1.0
2013-09-03,1234.59,1.0
2013-09-04,1236.35,1.0
2013-09-05,1267.26,1.0
2013-09-06,1282.75,1.0
2013-09-09,1275.91,1.0
2013-09-10,1263.59,1.0
2013-09-11,1220.71,1.0
2013-09-12,1220.63,1.0
2013-09-13,1253.45,1.0
2013-09-16,1278.8,1.0
2013-09-17,1269.36,1.0
2013-09-18,1289.64,1.0
2013-09-23,1326.09,1.0
2013-09-24,1328.4,1.0
2013-09-25,1323.04,1.0
2013-09-26,1306.34,1.0
2013-09-27,1323.76,1.0
2013-09-30,1367.91,1.0
2013-10-08,1387.66,1.0
2013-10-09,1415.83,1.0
2013-10-10,1378.15,1.0
2013-10-11,1379.9,1.0
2013-10-14,1393.6,1.0
2013-10-15,1389.75,1.0
2013-10-16,1335.1,1.0
2013-10-17,1322.99,1.0
2013-10-18,1349.94,1.0
2013-10-21,1400.97,1.0
2013-10-22,1350.47,1.0
2013-10-23,1311.23,-1.0
2013-10-24,1295.93,-1.0
2013-10-25,1269.17,-1.0
2013-10-28,1279.05,-1.0
2013-10-29,1261.68,-1.0
2013-10-30,1273.29,-1.0
2013-10-31,1235.56,-1.0
2013-11-01,1221.96,-1.0
2013-11-04,1222.46,-1.0
2013-11-05,1260.03,-1.0
2013-11-06,1241.79,-1.0
2013-11-07,1224.05,-1.0
2013-11-08,1211.11,-1.0
2013-11-11,1212.69,-1.0
2013-11-12,1228.35,-1.0
2013-11-13,1212.08,-1.0
2013-11-14,1249.67,-1.0
2013-11-15,1269.05,-1.0
2013-11-18,1291.15,-1.0
2013-11-19,1298.17,-1.0
2013-11-20,1299.26,-1.0
2013-11-21,1298.95,-1.0
2013-11-22,1295.07,-1.0
2013-11-25,1293.8,-1.0
2013-11-26,1291.85,-1.0
2013-11-27,1329.48,-1.0
2013-11-28,1336.66,-1.0
2013-11-29,1366.83,1.0
2013-12-02,1253.93,1.0
2013-12-03,1255.33,1.0
2013-12-04,1240.29,1.0
2013-12-05,1202.07,-1.0
2013-12-06,1206.78,-1.0
2013-12-09,1241.72,-1.0
2013-12-10,1231.92,-1.0
2013-12-11,1244.51,-1.0
2013-12-12,1279.32,-1.0
2013-12-13,1278.14,-1.0
2013-12-16,1279.96,-1.0
2013-12-17,1267.67,-1.0
2013-12-18,1256.0,-1.0
2013-12-19,1256.08,-1.0
2013-12-20,1253.71,-1.0
2013-12-23,1242.81,-1.0
2013-12-24,1258.82,-1.0
2013-12-25,1288.34,-1.0
2013-12-26,1269.54,-1.0
2013-12-27,1294.3,-1.0
2013-12-30,1307.99,-1.0
2013-12-31,1304.44,-1.0
2014-01-02,1333.0,-1.0
2014-01-03,1352.84,-1.0
2014-01-06,1323.33,-1.0
2014-01-07,1352.28,-1.0
2014-01-08,1405.02,-1.0
2014-01-09,1380.24,-1.0
2014-01-10,1353.3,-1.0
2014-01-13,1362.79,1.0
2014-01-14,1400.92,1.0
2014-01-15,1415.32,1.0
2014-01-16,1395.16,-1.0
2014-01-17,1395.51,-1.0
2014-01-20,1372.74,-1.0
2014-01-21,1407.15,-1.0
2014-01-22,1431.74,-1.0
2014-01-23,1461.53,1.0
2014-01-24,1484.43,1.0
2014-01-27,1477.67,1.0
2014-01-28,1471.34,1.0
2014-01-29,1496.53,1.0
2014-01-30,1495.98,1.0
2014-02-07,1532.69,1.0
2014-02-10,1553.42,1.0
2014-02-11,1527.15,1.0
2014-02-12,1539.97,1.0
2014-02-13,1485.13,1.0
2014-02-14,1515.78,1.0
2014-02-17,1558.62,1.0
2014-02-18,1545.34,1.0
2014-02-19,1544.4,1.0
2014-02-20,1515.16,1.0
2014-02-21,1519.67,1.0
2014-02-24,1540.03,1.0
2014-02-25,1472.69,1.0
2014-02-26,1465.99,1.0
2014-02-27,1414.66,1.0
2014-02-28,1434.89,1.0
2014-03-03,1465.14,1.0
2014-03-04,1460.45,1.0
2014-03-05,1464.58,1.0
2014-03-06,1462.53,1.0
2014-03-07,1460.61,1.0
2014-03-10,1407.07,1.0
2014-03-11,1395.81,1.0
2014-03-12,1399.27,1.0
2014-03-13,1436.86,1.0
2014-03-14,1434.02,-1.0
2014-03-17,1477.42,-1.0
2014-03-18,1485.64,-1.0
2014-03-19,1466.22,-1.0
2014-03-20,1417.66,-1.0
2014-03-21,1419.84,-1.0
2014-03-24,1397.29,-1.0
2014-03-25,1394.82,-1.0
2014-03-26,1417.61,-1.0
2014-03-27,1367.96,-1.0
2014-03-28,1330.5,-1.0
2014-03-31,1327.8,-1.0
2014-04-01,1355.05,-1.0
2014-04-02,1327.98,-1.0
2014-04-03,1326.18,-1.0
2014-04-04,1346.74,-1.0
2014-04-08,1351.18,-1.0
2014-04-09,1370.46,-1.0
2014-04-10,1381.14,-1.0
2014-04-11,1363.9,-1.0
2014-04-14,1372.73,-1.0
2014-04-15,1369.89,-1.0
2014-04-16,1359.3,-1.0
2014-04-17,1367.59,-1.0
2014-04-18,1377.42,-1.0
2014-04-21,1363.85,-1.0
2014-04-22,1336.19,-1.0
2014-04-23,1326.44,-1.0
2014-04-24,1319.51,-1.0
2014-04-25,1291.9,-1.0
2014-04-28,1257.26,-1.0
2014-04-29,1266.54,-1.0
2014-04-30,1283.21,-1.0
2014-05-05,1302.15,-1.0
2014-05-06,1316.86,-1.0
2014-05-07,1290.03,-1.0
2014-05-08,1279.84,-1.0
2014-05-09,1258.58,-1.0
2014-05-12,1278.28,-1.0
2014-05-13,1276.24,-1.0
2014-05-14,1278.66,-1.0
2014-05-15,1253.88,-1.0
2014-05-16,1226.47,-1.0
2014-05-19,1228.37,-1.0
2014-05-20,1244.65,-1.0
2014-05-21,1257.8,-1.0
2014-05-22,1269.51,-1.0
2014-05-23,1296.0,1.0
2014-05-26,1320.76,1.0
2014-05-27,1306.28,-1.0
2014-05-28,1338.97,-1.0
2014-05-29,1314.21,-1.0
2014-05-30,1318.13,-1.0
2014-06-03,1319.63,-1.0
2014-06-04,1321.72,-1.0
2014-06-05,1355.48,-1.0
2014-06-06,1350.45,-1.0
2014-06-09,1326.68,-1.0
2014-06-10,1353.87,-1.0
2014-06-11,1367.39,-1.0
2014-06-12,1363.74,-1.0
2014-06-13,1382.73,-1.0
2014-06-16,1395.61,-1.0
2014-06-17,1377.43,-1.0
2014-06-18,1363.99,-1.0
2014-06-19,1320.66,-1.0
2014-06-20,1333.98,-1.0
2014-06-23,1361.28,-1.0
2014-06-24,1369.44,-1.0
2014-06-25,1358.71,-1.0
2014-06-26,1386.27,-1.0
2014-06-27,1388.82,-1.0
2014-06-30,1404.71,-1.0
2014-07-01,1411.74,1.0
2014-07-02,1419.94,1.0
2014-07-03,1422.6,1.0
2014-07-04,1411.64,-1.0
2014-07-07,1393.89,-1.0
2014-07-08,1410.73,-1.0
2014-07-09,1384.58,-1.0
2014-07-10,1363.88,-1.0
2014-07-11,1359.34,-1.0
2014-07-14,1367.07,-1.0
2014-07-15,1341.27,1.0
2014-07-16,1318.62,1.0
2014-07-17,1312.81,-1.0
2014-07-18,1305.92,-1.0
2014-07-21,1306.97,-1.0
2014-07-22,1329.35,-1.0
2014-07-23,1293.09,-1.0
